Adsorbent,Pollutant,SA (m2/g),Dav (nm),VTot (cm3/g),C (wt%),O/C,(O+N)/C,pH,T (K),C0 (mg/L),SLR (g/L),Qe (mg/g)
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,0.5,4.8,2.887395201
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,5.030355594
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,2,4.8,7.364845331
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,3,4.8,9.482509396
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,5,4.8,12.70598439
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,7,4.8,15.85718416
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,0.5,4.8,2.959670425
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,5.030355594
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,2,4.8,7.075744435
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,3,4.8,9.265683724
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,5,4.8,12.48915872
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,7,4.8,14.4839549
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,0.5,4.8,2.598294305
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,1,4.8,5.030355594
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,2,4.8,7.292570107
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,3,4.8,9.482509396
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,5,4.8,12.41688349
PB600,CBZ,408.7,4.63,0.336,78.79,0.042898845,0.068155857,7,298.15,7,4.8,15.13443192
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,0.5,4.8,3.010083037
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,5.100830368
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,2,4.8,8.096085409
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,3,4.8,10.79478055
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,5,4.8,18.26809015
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,7,4.8,24.25860024
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,0.5,4.8,3.306642942
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,5.693950178
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,2,4.8,7.799525504
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,3,4.8,11.98102017
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,5,4.8,17.37841044
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,7,4.8,23.66548043
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,0.5,4.8,3.306642942
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,4.507710558
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,2,4.8,8.392645314
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,3,4.8,10.79478055
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,5,4.8,18.27083333
PB800,IBF,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,7,4.8,24.25860024
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,0.5,4.8,3.744640943
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,7.174437299
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,2,4.8,11.82341908
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,3,4.8,15.4005895
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,5,4.8,19.40648446
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,7,4.8,25.35503751
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,0.5,4.8,3.811629153
PB800,CBZ,472.92,6.25,0.658,75.05,0.046902065,0.083810793,7,298.15,1,4.8,7.040460879
